,KC Fed Model-Based Natural Rate of Interest,,,KC Fed Model-Based Natural Unemployment Rate,,
Date,Point Estimate,Lower (68%),Upper (68%),Point Estimate,Lower (68%),Upper (68%)
"1966-07-01"," 1.914930888"," 0.911484960","2.8154864","4.619407","3.608281"," 5.671554"
"1966-08-01"," 1.921777672"," 0.968890650","2.7891803","4.615027","3.648974"," 5.617351"
"1966-09-01"," 1.958249906"," 0.962979778","2.8462494","4.544984","3.516863"," 5.575726"
"1966-10-01"," 1.944492149"," 0.941348076","2.8376618","4.563532","3.534593"," 5.611014"
"1966-11-01"," 1.987480196"," 1.002460512","2.8750513","4.499167","3.459950"," 5.519802"
"1966-12-01"," 2.010782327"," 1.019247971","2.8862824","4.433382","3.367635"," 5.434779"
"1967-01-01"," 2.077215085"," 1.164468282","2.8946467","4.338393","3.318008"," 5.209263"
"1967-02-01"," 2.087911036"," 1.185044724","2.9030803","4.336464","3.319395"," 5.201268"
"1967-03-01"," 2.174744556"," 1.262479973","3.0083494","4.212027","3.125967"," 5.055731"
"1967-04-01"," 2.240955578"," 1.249375179","3.1429843","4.102715","2.874081"," 5.004526"
"1967-05-01"," 2.197945761"," 1.243380550","3.0769144","4.181339","3.028130"," 5.077888"
"1967-06-01"," 2.133920212"," 1.196545538","2.9891860","4.278698","3.185615"," 5.170558"
"1967-07-01"," 2.130880959"," 1.138358829","3.0253695","4.282569","3.134361"," 5.249895"
"1967-08-01"," 2.085039994"," 1.083165517","2.9891726","4.350471","3.216212"," 5.354301"
"1967-09-01"," 2.065436099"," 1.028823735","2.9877556","4.378119","3.219190"," 5.439728"
"1967-10-01"," 2.023825211"," 0.984261592","2.9366581","4.433286","3.289653"," 5.505726"
"1967-11-01"," 1.988612869"," 0.977585697","2.8915218","4.510842","3.412442"," 5.608931"
"1967-12-01"," 1.981403703"," 1.024843505","2.8647493","4.542724","3.499441"," 5.606280"
"1968-01-01"," 1.973299137"," 0.961896391","2.9004451","4.553152","3.445134"," 5.708977"
"1968-02-01"," 1.986898663"," 0.950247293","2.9248261","4.523609","3.371032"," 5.697988"
"1968-03-01"," 1.964870755"," 0.933350458","2.9098897","4.571846","3.432134"," 5.782359"
"1968-04-01"," 1.911686333"," 0.894920201","2.8558693","4.682242","3.576410"," 5.930176"
"1968-05-01"," 1.880286105"," 0.877423635","2.8109661","4.723650","3.648972"," 5.975349"
"1968-06-01"," 1.895246300"," 0.903856905","2.7884833","4.686189","3.609597"," 5.887804"
"1968-07-01"," 1.941572720"," 1.002642703","2.8044977","4.631765","3.576032"," 5.751065"
"1968-08-01"," 1.969306424"," 1.030254946","2.8468381","4.616892","3.538781"," 5.753792"
"1968-09-01"," 2.047686038"," 1.097527835","2.9484994","4.512401","3.375619"," 5.637695"
"1968-10-01"," 1.995625315"," 1.042199383","2.8995943","4.602587","3.482638"," 5.766899"
"1968-11-01"," 2.016252777"," 1.070580534","2.9091551","4.585653","3.454336"," 5.732392"
"1968-12-01"," 1.989621245"," 1.094125997","2.8461816","4.645689","3.577735"," 5.741419"
"1969-01-01"," 1.939426944"," 1.034818862","2.7871777","4.726062","3.681306"," 5.848787"
"1969-02-01"," 1.866011464"," 0.985853370","2.7001397","4.846071","3.852500"," 5.983370"
"1969-03-01"," 1.801763580"," 0.875578966","2.6587135","4.943137","3.926090"," 6.177213"
"1969-04-01"," 1.686092026"," 0.746267787","2.5459586","5.119283","4.139753"," 6.428110"
"1969-05-01"," 1.452484493"," 0.378705591","2.3789503","5.476529","4.474072"," 7.065981"
"1969-06-01"," 1.480344197"," 0.475311923","2.3527437","5.423424","4.472956"," 6.890976"
"1969-07-01"," 1.545317106"," 0.573814796","2.3903633","5.315614","4.360651"," 6.709778"
"1969-08-01"," 1.460259620"," 0.474390316","2.3027264","5.452765","4.527862"," 6.898379"
"1969-09-01"," 1.422153462"," 0.444821120","2.2430995","5.488894","4.582283"," 6.913099"
"1969-10-01"," 1.423033138"," 0.450319774","2.2415914","5.483725","4.575627"," 6.907292"
"1969-11-01"," 1.493601147"," 0.546902883","2.3023532","5.395970","4.480076"," 6.752622"
"1969-12-01"," 1.446457252"," 0.473448351","2.2666758","5.462364","4.534771"," 6.868194"
"1970-01-01"," 1.398031975"," 0.454252787","2.1791625","5.513865","4.638521"," 6.876681"
"1970-02-01"," 1.282077530"," 0.289615573","2.0796763","5.655332","4.773508"," 7.111200"
"1970-03-01"," 1.522918738"," 0.705823759","2.2088214","5.292171","4.472129"," 6.384150"
